State,County,Year,median_aqi,sample_weight
North Carolina,Forsyth,2025,46,1.0
North Carolina,Graham,2025,43,1.0
North Carolina,Granville,2025,40,0.9833333333333333
North Carolina,Guilford,2025,43,1.0
North Carolina,Haywood,2025,44,1.0
North Carolina,Hyde,2025,20,0.09444444444444444
North Carolina,Johnston,2025,42,1.0
North Carolina,Lenoir,2025,37,1.0
North Carolina,Lincoln,2025,41,1.0
North Carolina,Macon,2025,34,1.0
North Carolina,Martin,2025,28,1.0
North Carolina,Mecklenburg,2025,51,1.0
North Carolina,Mitchell,2025,35,1.0
North Carolina,Montgomery,2025,41,1.0
North Carolina,New Hanover,2025,41,1.0
North Carolina,Northampton,2025,37,1.0
North Carolina,Person,2025,38,0.9777777777777777
North Carolina,Pitt,2025,38,1.0
North Carolina,Rockingham,2025,39,1.0
North Carolina,Rowan,2025,44,1.0
North Carolina,Swain,2025,38,1.0
North Carolina,Union,2025,41,1.0
North Carolina,Wake,2025,44,1.0
North Dakota,Billings,2025,40,1.0
North Dakota,Burke,2025,40,1.0
North Dakota,Burleigh,2025,41,1.0
North Dakota,Cass,2025,39,1.0
North Dakota,Dunn,2025,40,1.0
North Dakota,McKenzie,2025,41,1.0
North Dakota,Mercer,2025,39,1.0
North Dakota,Oliver,2025,40,1.0
North Dakota,Ward,2025,38,1.0
Ohio,Allen,2025,43,1.0
Ohio,Ashtabula,2025,43,1.0
Ohio,Athens,2025,33,1.0
Ohio,Belmont,2025,42,1.0
Ohio,Butler,2025,55,1.0
Ohio,Clark,2025,46,1.0
Ohio,Clermont,2025,43,1.0
Ohio,Clinton,2025,42,1.0
Ohio,Columbiana,2025,12,0.25555555555555554
Ohio,Cuyahoga,2025,53,1.0
Ohio,Delaware,2025,41,1.0
Ohio,Franklin,2025,54,1.0
Ohio,Geauga,2025,42,1.0
Ohio,Greene,2025,41,1.0
Ohio,Hamilton,2025,54,1.0
Ohio,Jefferson,2025,50,1.0
Ohio,Knox,2025,40,1.0
Ohio,Lake,2025,43,1.0
Ohio,Lawrence,2025,43,1.0
Ohio,Licking,2025,41,1.0
Ohio,Lorain,2025,39,1.0
Ohio,Lucas,2025,53,1.0
Ohio,Madison,2025,43,1.0
Ohio,Mahoning,2025,44,1.0
Ohio,Medina,2025,43,1.0
Ohio,Miami,2025,41,1.0
Ohio,Montgomery,2025,47,1.0
Ohio,Noble,2025,39,1.0
Ohio,Portage,2025,43,1.0
Ohio,Preble,2025,45,1.0
Ohio,Scioto,2025,45,1.0
Ohio,Stark,2025,51,1.0
Ohio,Summit,2025,44,1.0
Ohio,Trumbull,2025,46,1.0
Ohio,Warren,2025,44,1.0
