State,County,Year,median_aqi,sample_weight,% Hispanic or Latino,% White alone,% Black or African American alone,% American Indian and Alaska Native alone,% Asian alone,% Two or More Races,Median_Household_Income,Total_Population,Land_Area_SqMi,population_density,Region,Division,log_population_density,log_median_income,total_minority_pct,Division_East North Central,Division_East South Central,Division_Middle Atlantic,Division_Mountain,Division_New England,Division_Pacific,Division_South Atlantic,Division_West North Central,Division_West South Central,interaction_income_Division_East North Central,interaction_density_Division_East North Central,interaction_income_Division_East South Central,interaction_density_Division_East South Central,interaction_income_Division_Middle Atlantic,interaction_density_Division_Middle Atlantic,interaction_income_Division_Mountain,interaction_density_Division_Mountain,interaction_income_Division_New England,interaction_density_Division_New England,interaction_income_Division_Pacific,interaction_density_Division_Pacific,interaction_income_Division_South Atlantic,interaction_density_Division_South Atlantic,interaction_income_Division_West North Central,interaction_density_Division_West North Central,interaction_income_Division_West South Central,interaction_density_Division_West South Central
California,Colusa,2025,39,1.0,62.9,29.8,1.5,0.5,0.9,2.5,75672.0,21984,1150.679,19.105241340113096,West,Pacific,3.000980544261925,11.234176704733272,64.4,False,False,False,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.234176704733272,3.000980544261925,0.0,0.0,0.0,0.0,0.0,0.0
California,Del Norte,2025,33,0.9944444444444444,19.9,59.9,2.5,5.2,3.2,7.6,67058.0,27107,1006.202,26.939918624689675,West,Pacific,3.3300564413224154,11.113328107889947,22.4,False,False,False,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.113328107889947,3.3300564413224154,0.0,0.0,0.0,0.0,0.0,0.0
California,El Dorado,2025,39,1.0,14.5,73.1,0.8,0.3,5.2,5.5,108845.0,192662,1707.841,112.8102674663508,West,Pacific,4.734532741403951,11.597689318169378,15.3,False,False,False,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.597689318169378,4.734532741403951,0.0,0.0,0.0,0.0,0.0,0.0
California,Fresno,2025,54,1.0,54.5,26.2,4.2,0.4,10.9,3.2,74201.0,1016725,5958.383,170.63773846025003,West,Pacific,5.145386083971791,11.214546382970113,58.7,False,False,False,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.214546382970113,5.145386083971791,0.0,0.0,0.0,0.0,0.0,0.0
California,Glenn,2025,40,1.0,45.0,47.5,0.2,0.7,3.0,3.4,67139.0,28494,1313.968,21.685459615454864,West,Pacific,3.1217241736757178,11.114535270534025,45.2,False,False,False,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.114535270534025,3.1217241736757178,0.0,0.0,0.0,0.0,0.0,0.0
California,Humboldt,2025,36,1.0,14.2,69.5,1.3,3.1,3.0,8.0,61160.0,134541,3568.025,37.70741516665382,West,Pacific,3.656031188055063,11.021265010465248,15.5,False,False,False,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.021265010465248,3.656031188055063,0.0,0.0,0.0,0.0,0.0,0.0
California,Imperial,2025,64,1.0,86.0,9.1,2.0,0.6,1.3,0.9,57681.0,180202,4175.528,43.15669778768098,West,Pacific,3.7877446208141254,10.962700445421499,88.0,False,False,False,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.962700445421499,3.7877446208141254,0.0,0.0,0.0,0.0,0.0,0.0
California,Inyo,2025,54,1.0,24.2,58.0,0.5,9.3,1.5,5.7,73991.0,18739,10197.261,1.8376503259061427,West,Pacific,1.0429763596971346,11.211712258234096,24.7,False,False,False,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.211712258234096,1.0429763596971346,0.0,0.0,0.0,0.0,0.0,0.0
California,Kern,2025,61,1.0,56.5,29.6,4.8,0.3,5.1,3.0,70210.0,915075,8134.673,112.49069261911328,West,Pacific,4.731720830203169,11.159260272895194,61.3,False,False,False,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.159260272895194,4.731720830203169,0.0,0.0,0.0,0.0,0.0,0.0
California,Kings,2025,53,1.0,58.2,28.0,5.8,0.7,3.6,3.2,70995.0,153298,1390.972,110.2092637378754,West,Pacific,4.711413685341929,11.170378816408236,64.0,False,False,False,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.170378816408236,4.711413685341929,0.0,0.0,0.0,0.0,0.0,0.0
California,Lake,2025,17,0.1888888888888888,24.6,64.0,2.0,1.6,1.4,5.6,60621.0,68152,1255.082,54.30083452714643,West,Pacific,4.01278799932123,11.012413142479302,26.6,False,False,False,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.012413142479302,4.01278799932123,0.0,0.0,0.0,0.0,0.0,0.0
California,Los Angeles,2025,77,1.0,48.4,24.7,7.4,0.2,14.9,3.5,90112.0,9808667,4060.246,2415.7814575767084,West,Pacific,7.7901919577394505,11.408819717317222,55.8,False,False,False,False,False,True,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.408819717317222,7.7901919577394505,0.0,0.0,0.0,0.0,0.0,0.0
