State,County,Year,median_aqi,sample_weight,Median_Household_Income
Kentucky,Warren,2025,37,1.0,65794.0
Kentucky,Washington,2025,38,1.0,61616.0
Louisiana,Ascension,2025,33,1.0,91549.0
Louisiana,Bossier,2025,40,1.0,69617.0
Louisiana,Caddo,2025,38,1.0,50705.0
Louisiana,Calcasieu,2025,47,1.0,67564.0
Louisiana,East Baton Rouge,2025,51,1.0,63071.0
Louisiana,Iberville,2025,41,1.0,54000.0
Louisiana,Jefferson,2025,48,1.0,65252.0
Louisiana,Lafayette,2025,47,1.0,67451.0
Louisiana,Lafourche,2025,46,1.0,63135.0
Louisiana,Livingston,2025,45,1.0,80122.0
Louisiana,Orleans,2025,44,1.0,56631.0
Louisiana,Ouachita,2025,46,1.0,54688.0
Louisiana,Pointe Coupee,2025,35,1.0,65961.0
Louisiana,Rapides,2025,35,0.3166666666666666,54967.0
Louisiana,St. Bernard,2025,45,1.0,58651.0
Louisiana,St. James,2025,34,1.0,65531.0
Louisiana,St. John the Baptist,2025,35,1.0,66630.0
Louisiana,St. Martin,2025,36,1.0,55960.0
Louisiana,St. Tammany,2025,38,1.0,81202.0
Louisiana,Tangipahoa,2025,38,0.3444444444444444,56760.0
Louisiana,Terrebonne,2025,39,0.3388888888888889,64836.0
Louisiana,West Baton Rouge,2025,50,1.0,87299.0
Maine,Androscoggin,2025,35,1.0,67873.0
Maine,Aroostook,2025,36,1.0,56700.0
Maine,Cumberland,2025,39,1.0,95677.0
Maine,Hancock,2025,37,1.0,72744.0
Maine,Kennebec,2025,36,1.0,69077.0
Maine,Knox,2025,34,1.0,74096.0
Maine,Oxford,2025,39,1.0,60173.0
Maine,Penobscot,2025,34,1.0,66356.0
Maine,Sagadahoc,2025,35,1.0,87806.0
Maine,Washington,2025,36,1.0,56024.0
Maine,York,2025,36,1.0,88333.0
Maryland,Anne Arundel,2025,40,1.0,124911.0
Maryland,Baltimore,2025,44,1.0,91768.0
Maryland,Calvert,2025,38,1.0,133922.0
Maryland,Carroll,2025,38,1.0,118211.0
Maryland,Cecil,2025,41,1.0,92007.0
Maryland,Charles,2025,38,1.0,122816.0
Maryland,Dorchester,2025,40,1.0,61839.0
Maryland,Frederick,2025,41,1.0,122002.0
Maryland,Garrett,2025,41,1.0,67688.0
Maryland,Harford,2025,43,1.0,112265.0
Maryland,Howard,2025,36,1.0,149763.0
Maryland,Kent,2025,40,1.0,80147.0
Maryland,Montgomery,2025,41,1.0,132450.0
Maryland,Prince George's,2025,41,1.0,101798.0
Maryland,Washington,2025,42,1.0,77747.0
Massachusetts,Barnstable,2025,38,1.0,95241.0
Massachusetts,Berkshire,2025,41,1.0,76013.0
Massachusetts,Bristol,2025,41,1.0,85625.0
Massachusetts,Dukes,2025,37,1.0,125786.0
Massachusetts,Essex,2025,42,1.0,101883.0
Massachusetts,Franklin,2025,40,1.0,74907.0
Massachusetts,Hampden,2025,41,1.0,71306.0
Massachusetts,Hampshire,2025,39,1.0,87001.0
